Illness,Fever,Cough,Headache,Nausea,Vomiting,Diarrhea,Rash,ShortnessBreath,Fatigue,LossSmellTaste,Sneezing,SoreThroat,BlurredVision,ChillsSweating,JointMusclePain,AbdominalPain
Common Cold,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Migraine,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Influenza (Flu),1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Gastroenteritis,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
Malaria,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Dengue,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
Asthma,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Diabetes (T2),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Hypertension,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
COVID-19,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Common Cold,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
Common Cold,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Migraine,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Migraine,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Influenza (Flu),1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0
Influenza (Flu),1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Gastroenteritis,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1
Gastroenteritis,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
Malaria,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
Malaria,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Dengue,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
Dengue,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
Asthma,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Asthma,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Diabetes (T2),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Diabetes (T2),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Hypertension,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
Hypertension,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
COVID-19,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
COVID-19,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Heart Attack,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Heart Attack,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Stroke,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Stroke,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Pneumonia,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
Pneumonia,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
Typhoid Fever,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
Typhoid Fever,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
Allergy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Allergy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Strep Throat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Strep Throat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
